Longitude,Latitude,Pixel,Scan
137.250586,15.5951084,150,900
137.163757,15.5935018,200,900
137.078649,15.5919029,249,900
137.508619,15.7389582,0,950
137.421673,15.7374249,50,950
137.334759,15.735867,100,950
137.247861,15.7342842,150,950
137.160963,15.7326762,200,950
137.075789,15.7310757,249,950
137.506094,15.8781255,0,1000
137.41908,15.8765917,50,1000
137.332097,15.8750328,100,1000
137.245131,15.8734488,150,1000
137.158165,15.8718393,200,1000
137.072924,15.870237,249,1000
137.50357,16.0172798,0,1050
137.416487,16.0157455,50,1050
137.329435,16.0141858,100,1050
137.242399,16.0126007,150,1050
137.155364,16.0109898,200,1050
137.070056,16.0093858,249,1050
137.501046,16.1564539,0,1100
137.413893,16.1549189,50,1100
137.326771,16.1533584,100,1100
137.239666,16.151772,150,1100
137.152561,16.1501595,200,1100
137.067184,16.1485536,249,1100
137.498519,16.2956143,0,1150
137.411296,16.2940788,50,1150
137.324104,16.2925174,100,1150
137.236928,16.2909298,150,1150
137.149753,16.2893158,200,1150
137.064307,16.287708,249,1150
137.495986,16.4347764,0,1200
137.408691,16.4332404,50,1200
137.321428,16.4316781,100,1200
137.234182,16.4300894,150,1200
137.146935,16.4284739,200,1200
137.06142,16.4268644,249,1200
137.493452,16.5739323,0,1250
137.406086,16.5723957,50,1250
137.318751,16.5708325,100,1250
137.231433,16.5692425,150,1250
137.144115,16.5676254,200,1250
137.058529,16.566014,249,1250
137.490922,16.7130973,0,1300
137.403483,16.7115601,50,1300
137.316076,16.7099961,100,1300
137.228685,16.7084048,150,1300
137.141295,16.7067862,200,1300
137.055638,16.705173,249,1300
137.488381,16.8522684,0,1350
137.400869,16.8507306,50,1350
137.313389,16.8491656,100,1350
137.225925,16.8475731,150,1350
137.138461,16.8459528,200,1350
137.052733,16.8443377,249,1350
137.485846,16.9914146,0,1400
137.39826,16.9898762,50,1400
137.310707,16.9883102,100,1400
137.223169,16.9867164,150,1400
137.135632,16.9850945,200,1400
137.049831,16.9834775,249,1400
137.483308,17.1305778,0,1450
137.395648,17.1290388,50,1450
137.30802,17.1274719,100,1450
137.220408,17.1258769,150,1450
137.132797,17.1242534,200,1450
137.046923,17.1226346,249,1450
137.480768,17.2697411,0,1500
137.393033,17.2682015,50,1500
137.30533,17.2666336,100,1500
137.217643,17.2650373,150,1500
137.129956,17.2634122,200,1500
137.044009,17.2617915,249,1500
137.478226,17.4088902,0,1550
137.390415,17.40735,50,1550
137.302636,17.4057813,100,1550
137.214873,17.4041838,150,1550
137.127111,17.4025571,200,1550
137.04109,17.4009345,249,1550
137.475683,17.5480436,0,1600
137.387796,17.5465027,50,1600
137.299941,17.544933,100,1600
137.212102,17.5433341,150,1600
137.124263,17.5417058,200,1600
137.038167,17.5400812,249,1600
137.473136,17.687198,0,1650
137.385172,17.6856565,50,1650
137.29724,17.6840858,100,1650
137.209324,17.6824855,150,1650
137.121408,17.6808555,200,1650
137.035237,17.679229,249,1650
137.470588,17.8263488,0,1700
137.382546,17.8248067,50,1700
137.294535,17.8232351,100,1700
137.206542,17.8216337,150,1700
137.118549,17.8200021,200,1700
137.032301,17.8183738,249,1700
137.468034,17.9655018,0,1750
137.379914,17.963959,50,1750
137.291825,17.9623862,100,1750
137.203753,17.9607833,150,1750
137.115682,17.95915,200,1750
137.029357,17.9575195,249,1750
137.465479,18.1046492,0,1800
137.377279,18.1031057,50,1800
137.289112,18.1015319,100,1800
137.200961,18.0999277,150,1800
137.11281,18.0982927,200,1800
137.026409,18.0966602,249,1800
137.462919,18.2438027,0,1850
137.37464,18.2422586,50,1850
137.286392,18.2406839,100,1850
137.198161,18.2390784,150,1850
137.109931,18.2374417,200,1850
137.023451,18.2358074,249,1850
137.460358,18.3829545,0,1900
137.371998,18.3814096,50,1900
